ClaveMaterial,idMaterial
0930357-04,35200
1322927-01,50248
1734946-01,45271
1762394-05,35204
2542986-00,736
3244423-04,51190
3244423-05,60230
3244479-06,51191
3366332-01,35799
3532087-02,59078
3640358-01,45228
374-1778-02,29379
3898070-14,56797
3901017-13,56798
4648104-01,35180
4756644-02,39955
4802341-01,35297
487-6979-02,30233
4886613-01,37760
4931088-02,39976
4940773-01,30343
4984574-02,36630
4987702-02,30777
4987713-01,35315
[35197]5051947-02,35197
[35757]5051949-02,35757
5061097-01,35211
5061098-01,30808
506-1199-R02,30583
5067016-01,31142
5080558-01,30132
5101210-02,36753
5101212-02,31145
5102280-01,30900
5102281-01,30901
5102391-03,48362
5102420-02,35860
5103140-01,43536
5124650-01,30278
5127973-02,41026
5133120-02,30814
5133126-01,30507
5133893-01,30497
5147346-01,35956
5199948-00,26788
5228630-03,48363
5240480-00,35314
524-0656-R00,51570
5243824-02,35308
5244335-02,35309
5244506-01,35323
5250706-01,43535
525-0732-R02,41239
5256178-00,35352
5259765-01,35853
5259771-03,48206
525-9784-R00,30569
5264018-01,35340
526-8648-R01,34710
5270496-01,35954
5271264-00,42612
[36733]527-2236-00,36733
5282468-00,32881
5283399-00,31524
5283558-02,47642
5283561-01,48602
5283564-01,58156
528-3566-R00,30609
5283690-01,35776
5332344-00,35342
535-9171-R03,48364
5359190-00,31161
535-9211-R00,34438
5388999-00,35193
5391611-00,31163
5394147-00,34533
543-2337-04,54088
5432338-03,48366
546-2598-R00,35768
546-2605-R02,41317
546-2626-R01,54915
5474722-02,48367
548-0208-R00,35770
5480299-01,48368
548-0331-R06,55024
548-0379-R00,35773
548-0381-R00,35765
5480421-02,48939
5480428-00,35350
5487025-00,35183
5500603-02,45557
5512766-00,48085
5513744-00,35761
5513746-01,44996
5513756-01,40002
552-7037-R01,51545
5533702-00,35327
5542190-01,41979
5543211-02,40708
554-3227-R02,40629
5543512-02,40512
5555143-01,41109
555-5777-R00,35754
5555778-01,40353
5555780-01,48914
5555781-02,41618
5557437-00,35864
5557460-00,42260
5585156-00,38107
558-9989-R00,35912
5624439-01,45098
565-5605-R00,40179
5668724-01,43532
5672618-00,44766
567-2655-R00,40607
567-2695-R00,40686
5677847-00,39780
5681676-00,39687
5682531-00,45320
570-1382-R00,40523
5701510-01,56610
5716436-01,56611
5717249-00,42358
5750595-00,40991
576-1765-R00,40684
5761769-00,40753
5761793-01,48369
5766919-00,40836
5769468-02,52833
576-9471-R00,40930
5772124-00,40979
5773722-00,40750
5773753-00,40457
5782794-01,41208
5788177-01,48371
5813324-00,40809
5815133-00,41204
5846863-00,41259
5847693-00,45100
5863106-00,41351
5871270-00,45099
5888078-00,47187
589-2429-R00,42133
5928320-00,44540
5943101-00,44462
5943102-00,44460
6019450-00,47165
6026624-00,46639
6026628-00,46641
6027390-00,46716
6027392-00,46722
603-3084-R00,47189
6046091-00,47190
6050362-00,47599
6053974-03,58143
605-7251-R00,47797
6058361-00,48134
6072308-00,47395
608-0010-R00,49550
6123763-00,48942
6131944-00,49609
6150834-00,48943
6170872-00,49654
6229845-00,51035
6229846-00,51036
622-9847-R01,51037
6229849-00,50585
6229850-00,51038
6229900-00,51160
6253599-00,50773
625-3601-R00,51161
625-3606-R00,50859
625-3610-R00,50860
6253618-00,51058
627-3147-R00,50862
6368772-00,53341
6378589-00,53923
660-7224-R00,57202
660-7225-R00,57203
6730443-00,60361
7S-3996-09,1311
7S3996-10,54845
