ClaveMaterial,idMaterial
0930357-04,35200
1070693-02,1045
1196336-01,2120
1322927-01,50248
1398873-04,36978
1425731-01,2135
1609906-00,2141
1671884-04,40227
1762394-05,35204
1762397-05,35198
1871687-03,50249
194-2885-01,1386
2088720-04,42621
2090760-01,37978
2091743-00,3395
223-4472-R03,45769
2249222-02,46864
225-6309-04,2718
2299431-01,2201
2322323-04,1066
235-1861-01,729
237-9062-01,2211
242-1598-05,730
243-1242-01,24135
243-1244-02,24076
248-2218-03,50970
248-2221-03,50971
250-9965-03,2232
2542986-00,736
2673393-00,46650
2800959-04,51562
2807440-04,50498
282-9467-03,31038
2826701-04,51668
2838171-05,52835
2854123-06,58588
286-5672-03,35781
2886352-00,1077
291-1601-00,2264
2925583-04,58705
2937564-01,51315
2937566-01,51316
2937567-01,51317
295-0659-00,1080
295-8035-00,35205
2998221-02,60389
2G2345-02,35221
2W3458-03,3463
302-4404-01,2275
3024403-00,2274
304-7808-00,31047
3046777-02,53104
3046778-02,53105
309-4811-R07,55861
309-4814-R06-PT,56025
3099812-01,43923
3099814-01,44475
3117394-00,1086
321-4321-00,31052
324-8906-02,2293
3244419-01,7781
3244423-05,60230
3244479-06,51191
3246217-02,40230
328-1057-02,1101
3303865-03,44676
3337092-02,789
3366332-01,35799
337-2207-00,30889
3395661-02,834
3446137-01,1161
3451262-00,2315
3451262-01,53678
3451263-01,57235
3452955-03,52965
3465673-05,24139
3502981-01,35908
3503072-00,24141
3508493-01,3624
3537502-01,58219
3552889-03,40868
3572261-03,7235
3586574-01,46980
359-3234-02,24143
359-3241-00,24145
3597328-02,56493
3617808-00,31322
3660347-01,24085
3666100-05,48036
367-5259-01,24150
3670021-03,28932
3675085-01,22313
368-8195-01,24151
368-8200-09,36864
368-8221-01,24154
3681351-02,40546
3750786-03,52888
3758479-00,1621
3777759-05,48380
3795660-03,54917
3798640-01,40329
382-3480-00,1223
3825072-00,45285
383-8879-01,1224
3900363-01,3773
394-1610-02,24159
3992485-01,47316
418-8597-R03,45280
4180725-02,21686
4207536-02,47794
421-9410-00,5953
4219248-01,44074
4219254-02,49398
4219279-01,44075
4219283-02,47795
4219290-01,44216
4219302-01,47796
422-0233-00,24206
422-1279-01,3487
4231687-03,48786
4260948-00,45247
436-6808-00,1705
4422839-05,47965
4422849-06,56277
4456365-01,30800
447-1968-01,26642
4516594-00,45246
4555374-01,26785
4607447-02,30898
461-0029-00,22534
4648104-01,35180
4655610-05,52832
4661377-01,60694
4669349-02,41310
4677997-03,36572
4681867-00,3534
4732198-04,54139
4756644-02,39955
4779180-00,21615
482-8313-00,21617
482-9887-00,21712
488-4562-01,21714
4903605-02,52335
4931075-06,58509
4931091-02,39979
4944835-02,45242
4951137-01,38429
4968122-02,30292
4975036-01,41425
4984574-02,36630
4987702-02,30777
4N-1779-05,2499
4W9890-01,2501
5043457-02,60404
5043462-02,60405
5051947-02,31074
5051949-02,35994
5061097-01,35211
5061098-01,30808
5079573-05,54140
508-6279-02,54185
5101210-02,36753
5102391-03,48362
5103140-01,43536
5106357-01,40969
5124650-01,30278
5127973-02,41026
5133120-02,30814
514-3962-00,32337
5147346-01,35956
5147561-01,53997
5199948-00,26788
520-6171-00,27158
5207863-02,45204
5228630-03,48363
5244506-01,35323
5256178-00,35352
5259765-01,35853
5259771-03,48206
526-1511-00,35283
5264018-01,35340
527-5372-02,34206
527-5374-01,33795
5271264-00,42612
5283558-02,47642
5283561-01,48602
5286390-01,54852
5301634-01,36709
5332344-00,35342
5334253-00,39697
5334254-00,32322
5366517-00,35275
5388999-00,35193
539-2790-00,34218
5391611-00,31163
5392785-01,44683
5417787-01,54931
5429518-02,48592
5474722-02,48367
5478017-03,48593
548-0331-R06,55024
5480421-02,48939
5487025-00,35183
5507522-02,42619
5513744-00,35761
5513746-01,44996
5513756-01,40002
553-2144-00,36243
5533702-00,35327
5542190-01,41979
5543211-02,40708
5543512-02,40512
5555780-01,48914
5555781-02,41618
5557437-00,35864
5557460-00,42260
5583113-02,52289
5583114-02,52889
5588467-03,61065
5588876-02,50952
5592193-02,40635
5603021-03,49809
5603024-03,49822
5603061-01,43159
5606486-00,36221
5609514-03,51574
5621815-00,44660
5624439-01,45098
5650402-00,40475
5651298-01,45992
5679624-02,45848
5680498-00,40685
5680501-00,40690
5681676-00,39687
5682531-00,45320
5686616-01,45991
5701510-01,56610
5716436-01,56611
5723709-01,47415
5750595-00,40991
5753223-00,41865
5757152-00,40143
5761769-00,40753
5769468-02,52833
5773722-00,40750
5773753-00,40457
5788177-01,48371
5813324-00,40809
5815133-00,41204
5843575-00,41593
5846863-00,41259
5849615-00,42600
5871270-00,45099
5871705-00,44507
5878259-00,45391
5882045-00,41534
5882111-00,43305
5888078-00,47187
5890996-00,45522
5901142-00,45393
5901143-00,45394
591-7534-01,54098
5917533-00,42211
5934318-02,52614
5934319-00,50126
5943478-01,50705
5944420-00,44543
5954310-01,49980
5961806-00,44636
5969608-01,50972
5979106-00,45905
5982164-01,53299
5982780-00,45922
6017832-00,51324
6019450-00,47165
6026624-00,46639
6026628-00,46641
6046091-00,47190
6050362-00,47599
6053353-01,54463
6053974-03,58143
6059655-01,49547
6068301-00,48177
6072308-00,47395
6075933-02,54004
6123763-00,48942
6131944-00,49609
6150834-00,48943
6165264-01,54871
6170872-00,49654
6173573-00,54268
6186389-00,55433
6193434-00,50108
6199959-01,52615
6208625-00,53305
6229845-00,51035
6229846-00,51036
6229849-00,50585
6229850-00,51038
6229900-00,51160
6249527-01,55891
6253599-00,50773
6253618-00,51058
6276585-01,61524
6282243-01,60536
6368772-00,53341
6378589-00,53923
639-8277-02,61375
639-8278-01,61376
6464592-00,56495
6464593-00,56496
6464594-00,56497
6464595-00,56498
6542167-01,59292
6542168-02,61067
6556683-02,60886
664-1399-01,61858
6649200-00,60934
6682199-00,61535
6707960-00,61537
6707961-00,61538
6714317-00,61539
6740602-00,61540
6H6698-03,2514
6N-3024-01,1298
6P5647-02,3860
